NIT,RAZÓN_SOCIAL,SUPERVISOR,DEPARTAMENTO_DOMICILIO,CIUDAD_DOMICILIO,MACROSECTOR,INGRESOS_OPERACIONALES,GANANCIA_PÉRDIDA,TOTAL_ACTIVOS,TOTAL_PASIVOS,TOTAL_PATRIMONIO
812001414,DEPOSITO LAS CASAS LTDA,SUPERSOCIEDADES,CORDOBA,MONTERIA-CORDOBA,COMERCIO,0.02,0.0,0.01,0.0,0.01
860530370,LIDER PRODUCTOS PUBLICITARIOS SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,0.02,0.0,0.03,0.02,0.01
900240842,CENTRAL DE ABASTECIMIENTOS DE TIENDAS LIMITADA,SUPERSOCIEDADES,VALLE,CALI-VALLE,COMERCIO,0.02,0.0,0.0,0.0,0.0
830058936,INVERSIONES ABECAR S.A.S.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,0.02,0.0,0.0,0.0,0.0
900412189,NOVATECNICA SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,0.02,0.0,0.01,0.01,0.0
900458786,ÁGORA CENTRO DE SERVICIOS COMPARTIDOS SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,0.0,0.01,0.0,0.0
900445054,PLASTICOS Y BOLSAS DE OCCIDENTE SAS,SUPERSOCIEDADES,CUNDINAMARCA,MOSQUERA -CUNDINAMARCA,MANUFACTURA,0.02,0.0,0.01,0.0,0.0
890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,SUPERSALUD,ANTIOQUIA,CHIGORODO-ANTIOQUIA,SERVICIOS,0.02,0.0,0.01,0.01,0.01
900590596,FRUTOS DEL NOGAL SAS,SUPERSOCIEDADES,ANTIOQUIA,ITAGUI-ANTIOQUIA,COMERCIO,0.02,-0.0,0.01,0.01,0.0
901111610,PRESTIGIO RM SAS,SUPERSOCIEDADES,VALLE,CALI-VALLE,COMERCIO,0.02,0.0,0.0,0.0,0.0
860047372,BRIGARD & CASTRO S.A.S,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,0.01,0.02,0.01,0.0
830500366,PORCICOLA LA GALICIA SAS PORCICOLA LA GALICIA SAS,SUPERSOCIEDADES,ANTIOQUIA,ENVIGADO-ANTIOQUIA,AGROPECUARIO,0.02,0.0,0.01,0.0,0.0
830096620,PROFESIONALES EN TRANSACCIONES ELECTRONICAS S.A.- PTESA,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,0.0,0.01,0.01,0.0
900653666,SOLZA PROYECTOS Y CONSTRUCCIONES SAS,SUPERSOCIEDADES,BOYACA,PAIPA-BOYACA,SERVICIOS,0.02,0.0,0.05,0.05,0.0
830502242,INFORMACION DE NEGOCIOS Y PROCESOS INP LTDA,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,0.0,0.01,0.0,0.0
830049221,IMPORT LINE SAS,SUPERSOCIEDADES,CUNDINAMARCA,COTA -CUNDINAMARCA,COMERCIO,0.02,0.0,0.02,0.01,0.01
811014359,CONSTRUCCIONES Y VIAS INGENIEROS CONTRATISTAS S.A.S. EN REORGANIZACION,SUPERSOCIEDADES,ANTIOQUIA,ENVIGADO-ANTIOQUIA,CONSTRUCCIÓN,0.02,0.0,0.04,0.03,0.01
830122420,PLASTICOS Y MADERAS RECICLABLES SAS,SUPERSOCIEDADES,CUNDINAMARCA,SOACHA-CUNDINAMARCA,COMERCIO,0.02,0.0,0.01,0.0,0.01
830069055,INVERSIONES CONECCIONES Y CIA S.A.S.,SUPERSOCIEDADES,CUNDINAMARCA,CHIA-CUNDINAMARCA,SERVICIOS,0.02,0.01,0.03,0.01,0.02
800017308,CLINICA LA SABANA S.A,SUPERSALUD,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,-0.0,0.03,0.01,0.01
901097082,DISTRIBUCIONES NUEVO HORIZONTE DEL CASANARE S.A.S.,SUPERSOCIEDADES,CASANARE,YOPAL-CASANARE,COMERCIO,0.02,0.0,0.0,0.0,0.0
900265026,E-DEA NETWORKS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,0.0,0.02,0.01,0.01
800155500,PROSERVIS EMPRESA DE SERVICIOS GENERALES SAS,SUPERSOCIEDADES,VALLE,CALI-VALLE,SERVICIOS,0.02,0.0,0.01,0.0,0.0
811039003,LUX LABEL S.A.S.,SUPERSOCIEDADES,ANTIOQUIA,RIONEGRO-ANTIOQUIA,MANUFACTURA,0.02,0.0,0.01,0.0,0.01
900271789,C.I. HOSPITAL CARE DISTRIBUTION S.A.S.,SUPERSOCIEDADES,ANTIOQUIA,MEDELLIN-ANTIOQUIA,COMERCIO,0.02,0.0,0.01,0.0,0.0
830047108,GRUPO ZEA SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,0.0,0.01,0.0,0.0
900408664,PLASTIRED SAS,SUPERSOCIEDADES,ANTIOQUIA,LA-ESTRELLA -ANTIOQUIA,MANUFACTURA,0.02,0.0,0.01,0.0,0.0
860023380,AMEZQUITA Y CIA SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,0.0,0.02,0.0,0.01
811007288,MERIDIANO SAS,SUPERSOCIEDADES,ANTIOQUIA,SABANETA -ANTIOQUIA,MANUFACTURA,0.02,0.0,0.01,0.01,0.0
800058709,GRUPO LOPERA INGENIERO S.A.,SUPERSOCIEDADES,RISARALDA,PEREIRA-RISARALDA,SERVICIOS,0.02,0.0,0.01,0.0,0.01
830119738,PAISAGRO SOCIEDAD ANONIMA,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,0.02,0.0,0.01,0.0,0.0
830002571,AGENCIA DE ADUANAS AVIATUR SA NIVEL 1,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,0.0,0.03,0.02,0.01
800201496,SOCIEDAD MEDICA DE ORTOPEDIA Y ACCIDENTES LABORALES S A,SUPERSALUD,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,-0.0,0.03,0.02,0.01
901132219,PALO SANTO CONSTRUCCIONES S.A.S.,SUPERSOCIEDADES,BOLIVAR,CARTAGENA-BOLIVAR,CONSTRUCCIÓN,0.02,0.0,0.03,0.01,0.01
900396868,KONFIRMA S.A.S,SUPERSOCIEDADES,ANTIOQUIA,MEDELLIN-ANTIOQUIA,SERVICIOS,0.02,0.0,0.01,0.0,0.0
900050036,CUSHMAN & WAKEFIELD COLOMBIA S.A.S.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,0.0,0.01,0.01,0.0
890500282,TEJAR DE´PESCADERO SAS,SUPERSOCIEDADES,NORTE DE SANTANDER,CUCUTA-NORTE DE SANTANDER,MANUFACTURA,0.02,0.0,0.02,0.01,0.01
